Date,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42
2015-12,Mexico,"1,698","1,698",0,Guatemala,234,234,0,Honduras,29,29,0,El Salvador,55,55,0
2016-01,Mexico,"2,080","2,080",0,Guatemala,137,137,0,Honduras,13,13,0,El Salvador,19,19,0
2016-02,Mexico,"2,084","2,084",0,Guatemala,82,82,0,Honduras,39,39,0,El Salvador,33,33,0
2016-03,Mexico,"2,555","2,555",0,Guatemala,122,122,0,Honduras,40,40,0,El Salvador,33,33,0
2016-04,Mexico,"2,611","2,611",0,Guatemala,229,229,0,Honduras,40,40,0,El Salvador,40,40,0
2016-05,Mexico,"2,495","2,495",0,Guatemala,197,197,0,Honduras,28,28,0,El Salvador,51,51,0
2016-06,Mexico,"2,029","2,029",0,Guatemala,154,154,0,Honduras,63,63,0,El Salvador,84,84,0
2016-07,Mexico,"1,919","1,919",0,Guatemala,224,224,0,Honduras,79,79,0,El Salvador,71,71,0
2016-08,Mexico,"2,069","2,069",0,Guatemala,236,236,0,Honduras,54,54,0,El Salvador,77,77,0
2016-09,Mexico,"2,355","2,355",0,Guatemala,326,326,0,Honduras,75,75,0,El Salvador,108,108,0
2016-10,Mexico,"2,128","2,128",0,Guatemala,337,337,0,Honduras,108,108,0,El Salvador,133,133,0
2016-11,Mexico,"2,042","2,042",0,Guatemala,474,474,0,Honduras,107,107,0,El Salvador,167,167,0
2016-12,Mexico,"1,817","1,817",0,Guatemala,570,570,0,Honduras,149,149,0,El Salvador,245,245,0
2017-01,Mexico,"1,872","1,872",0,Guatemala,333,333,0,Honduras,107,107,0,El Salvador,203,203,0
2017-02,Mexico,"1,372","1,372",0,Guatemala,110,110,0,Honduras,53,53,0,El Salvador,83,83,0
2017-03,Mexico,"1,074","1,074",0,Guatemala,38,38,0,Honduras,55,55,0,El Salvador,47,47,0
2017-04,Mexico,"1,160","1,160",0,Guatemala,42,42,0,Honduras,52,52,0,El Salvador,48,48,0
2017-05,Mexico,"1,448","1,448",0,Guatemala,82,82,0,Honduras,43,43,0,El Salvador,72,72,0
2017-06,Mexico,"1,334","1,334",0,Guatemala,92,92,0,Honduras,64,64,0,El Salvador,36,36,0
2017-07,Mexico,"1,338","1,338",0,Guatemala,150,150,0,Honduras,47,47,0,El Salvador,54,54,0
2017-08,Mexico,"1,743","1,743",0,Guatemala,166,166,0,Honduras,36,36,0,El Salvador,57,57,0
2017-09,Mexico,"1,698","1,698",0,Guatemala,150,150,0,Honduras,55,55,0,El Salvador,44,44,0
2017-10,Mexico,"1,876","1,876",0,Guatemala,177,177,0,Honduras,54,54,0,El Salvador,77,77,0
2017-11,Mexico,"1,965","1,965",0,Guatemala,219,219,0,Honduras,74,74,0,El Salvador,82,82,0
2017-12,Mexico,"1,886","1,886",0,Guatemala,234,234,0,Honduras,112,112,0,El Salvador,116,116,0
2018-01,Mexico,"2,617","2,617",0,Guatemala,174,174,0,Honduras,71,71,0,El Salvador,67,67,0
2018-02,Mexico,"2,588","2,588",0,Guatemala,182,182,0,Honduras,85,85,0,El Salvador,40,40,0
2018-03,Mexico,"3,326","3,326",0,Guatemala,263,263,0,Honduras,89,89,0,El Salvador,82,82,0
2018-04,Mexico,"2,901","2,901",0,Guatemala,203,203,0,Honduras,159,159,0,El Salvador,97,97,0
2018-05,Mexico,"2,375","2,375",0,Guatemala,311,311,0,Honduras,146,146,0,El Salvador,81,81,0
2018-06,Mexico,"1,908","1,908",0,Guatemala,355,355,0,Honduras,137,137,0,El Salvador,90,90,0
2018-07,Mexico,"1,623","1,623",0,Guatemala,384,384,0,Honduras,224,224,0,El Salvador,122,122,0
2018-08,Mexico,"2,035","2,035",0,Guatemala,570,570,0,Honduras,232,232,0,El Salvador,178,178,0
2018-09,Mexico,"1,982","1,982",0,Guatemala,582,582,0,Honduras,303,303,0,El Salvador,159,159,0
2018-10,Mexico,"2,357","2,357",0,Guatemala,833,833,0,Honduras,317,317,0,El Salvador,240,240,0
2018-11,Mexico,"1,796","1,796",0,Guatemala,"1,072","1,072",0,Honduras,803,803,0,El Salvador,295,295,0
2018-12,Mexico,"1,530","1,530",0,Guatemala,"1,340","1,340",0,Honduras,"1,785","1,785",0,El Salvador,480,480,0
2019-01,Mexico,"1,975","1,975",0,Guatemala,956,956,0,Honduras,435,435,0,El Salvador,181,181,0
2019-02,Mexico,"2,408","2,408",0,Guatemala,"1,298","1,298",0,Honduras,"1,018","1,018",0,El Salvador,318,318,0
2019-03,Mexico,"3,201","3,201",0,Guatemala,"1,798","1,798",0,Honduras,"1,134","1,134",0,El Salvador,445,445,0
2019-04,Mexico,"3,161","3,161",0,Guatemala,"1,262","1,262",0,Honduras,948,948,0,El Salvador,473,473,0
2019-05,Mexico,"3,431","3,431",0,Guatemala,714,714,0,Honduras,736,736,0,El Salvador,321,321,0
2019-06,Mexico,"3,061","3,061",0,Guatemala,310,310,0,Honduras,295,295,0,El Salvador,204,204,0
2019-07,Mexico,"2,287","2,287",0,Guatemala,138,138,0,Honduras,209,209,0,El Salvador,136,136,0
2019-08,Mexico,"2,761","2,761",0,Guatemala,122,122,0,Honduras,101,101,0,El Salvador,106,106,0
2019-09,Mexico,"2,828","2,828",0,Guatemala,89,89,0,Honduras,121,121,0,El Salvador,72,72,0
2019-10,Mexico,"3,085","3,085",0,Guatemala,93,93,0,Honduras,101,101,0,El Salvador,59,59,0
2019-11,Mexico,"3,131","3,131",0,Guatemala,91,91,0,Honduras,94,94,0,El Salvador,52,52,0
2019-12,Mexico,"3,133","3,133",0,Guatemala,78,78,0,Honduras,134,134,0,El Salvador,67,67,0
2020-01,Mexico,"3,426","3,426",0,Guatemala,70,70,0,Honduras,83,83,0,El Salvador,57,57,0
2020-02,Mexico,"3,508","3,508",0,Guatemala,74,74,0,Honduras,59,59,0,El Salvador,46,46,0
2020-03,Mexico,"3,822","2,955",867,Guatemala,64,54,10,Honduras,78,67,11,El Salvador,55,46,9
2020-04,Mexico,"2,149",44,"2,105",Guatemala,29,4,25,Honduras,41,4,41,El Salvador,28,3,25
2020-05,Mexico,"3,157",69,"3,088",Guatemala,31,9,22,Honduras,65,1,61,El Salvador,34,1,34
2020-06,Mexico,"4,720",63,"4,657",Guatemala,26,5,21,Honduras,54,2,54,El Salvador,34,9,34
2020-07,Mexico,"5,327",87,"5,240",Guatemala,36,3,33,Honduras,82,6,81,El Salvador,25,9,24
2020-08,Mexico,"5,823",119,"5,704",Guatemala,36,7,29,Honduras,56,9,54,El Salvador,50,6,41
2020-09,Mexico,"5,866",154,"5,712",Guatemala,54,7,47,Honduras,61,10,55,El Salvador,48,4,39
2020-10,Mexico,"6,680",152,"6,528",Guatemala,72,16,56,Honduras,67,14,58,El Salvador,66,8,60
2020-11,Mexico,"7,370",255,"7,115",Guatemala,99,15,84,Honduras,106,8,96,El Salvador,65,6,61
2020-12,Mexico,"8,000",519,"7,481",Guatemala,113,27,86,Honduras,162,10,148,El Salvador,74,16,66
2021-01,Mexico,"8,508",533,"7,975",Guatemala,178,28,150,Honduras,216,24,208,El Salvador,76,17,70
2021-02,Mexico,"8,546",462,"8,084",Guatemala,200,32,168,Honduras,425,44,415,El Salvador,149,21,133
2021-03,Mexico,"11,568",567,"11,001",Guatemala,311,65,246,Honduras,320,25,296,El Salvador,178,22,161
2021-04,Mexico,"10,951",478,"10,473",Guatemala,322,45,277,Honduras,373,15,329,El Salvador,190,19,169
2021-05,Mexico,"11,729",611,"11,118",Guatemala,250,36,214,Honduras,194,16,169,El Salvador,167,15,145
2021-06,Mexico,"12,396",694,"11,702",Guatemala,242,47,195,Honduras,230,16,215,El Salvador,145,14,126
2021-07,Mexico,"11,373",620,"10,753",Guatemala,250,42,208,Honduras,216,21,200,El Salvador,153,11,138
2021-08,Mexico,"9,337",580,"8,757",Guatemala,207,44,163,Honduras,131,7,115,El Salvador,102,11,88
2021-09,Mexico,"9,954",548,"9,406",Guatemala,156,25,131,Honduras,79,19,58,El Salvador,126,19,115
2021-10,Mexico,"11,232",579,"10,653",Guatemala,160,37,123,Honduras,116,17,109,El Salvador,116,16,105
2021-11,Mexico,"9,688",539,"9,149",Guatemala,167,43,124,Honduras,98,16,79,El Salvador,116,11,97
2021-12,Mexico,"9,014",515,"8,499",Guatemala,174,48,126,Honduras,157,16,140,El Salvador,134,18,118
2022-01,Mexico,"9,634",557,"9,077",Guatemala,115,33,82,Honduras,93,12,77,El Salvador,58,18,47
2022-02,Mexico,"10,864",514,"10,350",Guatemala,120,42,78,Honduras,102,9,86,El Salvador,69,14,51
2022-03,Mexico,"12,835",620,"12,215",Guatemala,145,43,102,Honduras,87,11,75,El Salvador,90,14,72
2022-04,Mexico,"10,529",743,"9,786",Guatemala,148,44,104,Honduras,56,16,47,El Salvador,101,24,87
2022-05,Mexico,"10,789",584,"10,205",Guatemala,129,31,98,Honduras,90,27,79,El Salvador,112,16,98
2022-06,Mexico,440,440,0,Guatemala,46,46,0,Honduras,16,0,0,El Salvador,24,0,0
2022-07,Mexico,550,550,0,Guatemala,34,34,0,Honduras,27,0,0,El Salvador,16,0,0
